Decade,Name,Platform,Year,Global_Sales
1980,Super Mario Bros.,NES,1985,40.24
1980,Tetris,GB,1989,30.26
1980,Duck Hunt,NES,1984,28.31
1980,Super Mario Land,GB,1989,18.14
1980,Super Mario Bros. 3,NES,1988,17.28
1980,Pac-Man,2600,1982,7.81
1980,Super Mario Bros. 2,NES,1988,7.46
1980,The Legend of Zelda,NES,1986,6.51
1980,Tetris,NES,1988,5.58
1980,Dr. Mario,GB,1989,5.34
1990,Pokemon Red/Pokemon Blue,GB,1996,31.37
1990,Pokemon Gold/Pokemon Silver,GB,1999,23.1
1990,Super Mario World,SNES,1990,20.61
1990,Pokémon Yellow: Special Pikachu Edition,GB,1998,14.64
1990,Super Mario 64,N64,1996,11.89
1990,Super Mario Land 2: 6 Golden Coins,GB,1992,11.18
1990,Gran Turismo,PS,1997,10.95
1990,Super Mario All-Stars,SNES,1993,10.55
1990,Mario Kart 64,N64,1996,9.87
1990,Final Fantasy VII,PS,1997,9.72
2000,Wii Sports,Wii,2006,82.74
2000,Mario Kart Wii,Wii,2008,35.82
2000,Wii Sports Resort,Wii,2009,33.0
2000,New Super Mario Bros.,DS,2006,30.01
2000,Wii Play,Wii,2006,29.02
2000,New Super Mario Bros. Wii,Wii,2009,28.62
2000,Nintendogs,DS,2005,24.76
2000,Mario Kart DS,DS,2005,23.42
2000,Wii Fit,Wii,2007,22.72
2000,Wii Fit Plus,Wii,2009,22.0
2010,Kinect Adventures!,X360,2010,21.82
2010,Grand Theft Auto V,PS3,2013,21.4
2010,Grand Theft Auto V,X360,2013,16.38
2010,Pokemon Black/Pokemon White,DS,2010,15.32
2010,Call of Duty: Modern Warfare 3,X360,2011,14.76
2010,Call of Duty: Black Ops,X360,2010,14.64
2010,Pokemon X/Pokemon Y,3DS,2013,14.35
2010,Call of Duty: Black Ops 3,PS4,2015,14.24
2010,Call of Duty: Black Ops II,PS3,2012,14.03
2010,Call of Duty: Black Ops II,X360,2012,13.73
2020,Imagine: Makeup Artist,DS,2020,0.29
